,FLARE_TYPE,COINCIDENCE,R_VALUE_1,R_VALUE_2,R_VALUE_3,R_VALUE_4,R_VALUE_5
317,M,False,4.3727,4.3306,4.3621,4.354,4.3875
318,M,False,3.8483,3.8347,3.828,3.8008,3.8851
319,M,True,4.5213,4.4311,4.3828,4.3537,4.315
320,M,False,4.2111,4.4563,3.794,4.1723,4.1163
321,M,True,4.7437,4.7274,4.719,4.7699,4.7245
322,M,False,4.7699,4.7245,4.7503,4.7722,4.7846
323,M,False,4.2829,4.2744,4.2723,4.3001,4.3297
324,M,True,4.8198,4.8244,4.8316,4.8226,4.8069
325,M,False,4.8229,4.8207,4.8344,4.818,4.792
326,M,False,4.7978,4.801,4.7966,4.7782,4.819
327,M,False,4.8614,4.8854,4.8782,4.8749,4.8803
328,M,False,4.1437,4.0922,4.0917,4.1,4.1206
329,M,True,4.562,4.5619,4.5954,4.6089,4.6141
330,M,False,4.5978,4.5612,4.5752,4.6022,4.5806
331,M,True,4.9304,4.8148,4.8829,4.9137,4.9232
332,M,True,4.8043,4.77,4.7962,4.7604,4.7321
333,M,True,4.7087,4.726,4.7115,4.7009,4.7067
334,M,False,4.8931,4.9236,4.9073,4.8479,4.8353
335,M,False,4.9931,4.9694,4.9971,4.975,4.9556
336,M,False,4.6167,4.5067,4.5239,4.5513,4.44
337,M,False,4.0865,4.0487,3.9391,3.5837,3.4403
338,M,True,5.1116,5.084,5.0517,5.0921,5.1042
339,M,False,3.2674,3.2017,3.2946,3.2566,3.2729
340,M,False,4.6067,4.619,4.588,4.6188,4.6495
341,M,False,0.0,0.0,0.0,0.0,0.0
342,M,False,0.0,0.0,0.0,0.0,0.0
343,M,False,0.0,0.0,0.0,0.0,0.0
344,M,False,0.0,0.0,0.0,0.0,0.0
345,M,False,0.0,0.0,0.0,0.0,0.0
346,M,False,0.0,0.0,0.0,0.0,0.0
347,M,True,0.0,0.0,0.0,0.0,0.0
348,M,False,0.0,0.0,0.0,0.0,0.0
349,M,False,0.0,0.0,0.0,0.0,0.0
350,M,True,5.1364,5.1025,5.1088,5.118,5.14
351,M,False,5.2081,5.1988,5.2281,5.2092,5.2016
352,M,True,4.3445,4.356,4.3997,4.408,4.3279
353,M,True,5.2523,5.2965,5.2469,5.2404,5.2635
354,M,False,5.2296,5.2583,5.2519,5.2378,5.2478
355,M,False,5.1747,5.1997,5.2376,5.224,5.2164
356,M,False,4.3903,4.3832,4.3664,4.3568,4.4042
357,M,False,5.3228,5.3195,5.3261,5.3243,5.3206
358,M,False,5.4257,5.4087,5.4251,5.4175,5.4143
359,M,False,4.5198,4.4762,4.4301,4.5177,4.4609
360,M,True,5.3922,5.3885,5.382,5.416,5.4128
361,M,False,5.4665,5.4656,5.4579,5.4471,5.4381
362,M,False,5.3762,5.3508,5.3542,5.3801,5.3704
363,M,False,5.3561,5.3602,5.3654,5.383,5.3736
364,M,True,5.127,5.1307,5.1297,5.1166,5.0808
365,M,False,5.1238,5.1312,5.1446,5.1396,5.1401
366,M,False,4.973,4.9793,4.9562,4.955,4.9486
367,M,True,4.0242,4.1779,4.1499,4.1087,4.2165
368,M,True,4.3762,4.3481,4.4526,4.4383,4.4401
369,M,True,4.7548,4.7287,4.738,4.7733,4.7871
370,M,True,4.7681,4.7822,4.8312,4.7911,4.8127
371,M,True,4.9068,4.8781,4.893,4.841,4.8532
372,M,True,4.9104,4.8939,4.9085,4.9098,4.9076
373,M,True,4.9393,4.9383,4.9368,4.9519,4.9089
374,M,False,4.948,4.9561,4.9597,4.9552,4.9349
375,M,False,4.9632,5.0209,5.027,4.995,4.9905
376,M,True,5.0973,5.0613,5.0877,5.0824,5.0804
377,M,False,5.078,5.068,5.0607,5.0578,5.0487
378,M,False,5.0747,5.0754,5.0782,5.048,5.0519
379,M,False,5.202,5.1913,5.2099,5.1887,5.1752
380,M,False,4.2571,4.2861,4.2074,4.1419,4.1442
381,M,False,4.2,4.1208,4.1477,4.2847,4.1608
382,M,False,4.6354,4.6636,4.6869,4.6823,4.7269
383,M,False,4.181,4.2427,4.1866,4.236,4.2405
384,M,False,0.0,0.0,0.0,0.0,0.0
385,M,False,0.0,0.0,0.0,0.0,0.0
386,M,False,4.3377,4.2972,4.2914,4.3293,4.2788
387,M,False,4.5065,4.4837,4.5208,4.5698,4.5321
388,M,True,3.5654,3.5608,3.4812,3.41,3.4712
389,M,True,3.8572,3.882,3.8947,3.8197,3.8527
390,M,True,3.7149,3.8373,3.8213,3.7893,3.8123
391,M,False,3.8325,3.6681,3.7991,3.8776,3.833
392,M,False,3.9922,3.9929,4.0126,4.007,4.0289
393,M,False,4.377,4.3951,4.3918,4.3766,4.3532
394,M,True,4.1404,4.1365,4.1784,4.1545,4.2451
395,M,False,4.3474,4.3689,4.3914,4.4161,4.4407
396,M,False,0.0,0.0,0.0,0.0,0.0
397,M,True,4.5144,4.5421,4.525,4.5232,4.5391
398,M,True,4.3875,4.3602,4.4097,4.3762,4.3146
399,M,False,4.359,4.364,4.3662,4.3887,4.3635
400,M,False,4.4494,4.4196,4.442,4.4488,4.4218
401,M,False,4.0732,4.2232,4.2051,4.199,4.1945
402,M,True,3.4447,3.4514,3.5056,3.5049,3.5978
403,M,False,3.5862,3.5353,3.576,3.7012,3.6624
404,M,False,4.4701,4.4592,4.4807,4.4591,4.4817
405,M,False,4.2127,4.2071,4.2066,4.2174,4.2307
406,M,False,0.0,0.0,0.0,0.0,3.7736
407,M,False,4.5036,4.5366,4.5832,4.5693,4.6032
408,M,False,4.4467,4.4216,4.4018,4.3905,4.4036
409,M,True,4.585,4.5912,4.5701,4.5573,4.5623
410,M,False,4.2596,4.2696,4.2712,4.2474,4.2577
411,M,False,0.0,0.0,0.0,0.0,0.0
412,M,False,4.7824,4.7835,4.8173,4.806,4.7923
413,M,False,3.9474,3.9172,3.9159,3.9247,3.9692
414,M,False,4.8704,4.8448,4.8964,4.9359,4.9093
415,M,True,0.0,0.0,0.0,4.0916,4.1057
416,M,True,0.0,0.0,0.0,0.0,0.0
417,M,True,0.0,0.0,0.0,0.0,0.0
418,M,True,4.8034,4.8384,4.8416,4.861,4.8441
419,M,True,0.0,0.0,0.0,0.0,0.0
420,M,False,0.0,0.0,0.0,0.0,0.0
421,M,False,3.9619,4.0193,4.0283,3.9409,3.9865
422,M,False,0.0,0.0,0.0,0.0,0.0
423,M,False,4.7568,4.7759,4.7898,4.7571,4.7825
424,M,False,0.0,0.0,0.0,0.0,0.0
425,M,False,0.0,0.0,0.0,0.0,0.0
426,M,False,3.5057,3.409,0.0,3.4934,0.0
427,M,False,3.9034,3.8111,3.9164,3.9381,3.916
428,M,True,3.5282,3.5152,3.5682,3.5959,3.5632
429,M,False,3.7181,3.6847,3.672,3.6829,3.7012
430,M,False,3.8929,3.8025,3.7892,3.8031,3.8164
431,M,False,0.0,0.0,0.0,0.0,0.0
432,M,False,0.0,0.0,0.0,0.0,4.6962
433,M,True,3.637,3.6006,3.7223,3.7093,3.7713
434,M,False,3.7223,3.7093,3.7713,3.8145,3.7313
435,M,False,3.617,3.7737,3.6913,3.7333,3.9505
436,M,True,5.4592,5.4361,5.4592,5.4123,5.3872
437,M,True,4.9893,4.9966,4.9902,4.9518,4.9756
438,M,False,5.0872,5.1166,5.1436,5.1309,5.1297
439,M,False,5.1867,5.1919,5.2006,5.1907,5.1898
440,M,False,5.1898,5.199,5.1661,5.1741,5.1721
441,M,False,5.1273,5.1661,5.1715,5.1846,5.168
442,M,True,5.3714,5.4007,5.363,5.3613,5.3503
443,M,False,5.3628,5.38,5.376,5.3737,5.4029
444,M,True,5.3984,5.419,5.4205,5.4084,5.3991
445,M,True,5.3109,5.3309,5.3236,5.3424,5.3662
446,M,True,5.4606,5.4818,5.4507,5.4458,5.4471
447,M,False,5.4507,5.4458,5.4471,5.4337,5.4348
448,M,False,5.4273,5.4164,5.4098,5.4159,5.3979
449,M,False,5.3004,5.3143,5.3001,5.32,5.341
450,M,False,5.3433,5.3692,5.3949,5.4009,5.402
451,M,True,5.4225,5.4346,5.4285,5.4251,5.425
452,M,False,5.4781,5.4823,5.4991,5.4992,5.4948
453,M,False,5.4438,5.456,5.461,5.4527,5.4382
454,M,False,5.35,5.3416,5.3304,5.3237,5.3314
455,M,False,5.3604,5.3668,5.3721,5.3583,5.3583
456,M,True,5.2479,5.2444,5.286,5.2559,5.2254
457,M,True,5.2344,5.2189,5.2325,5.2456,5.2271
